mangled,demangled,signature,address
_ZN5Actor19getMutableAttributeERK9Attribute,Actor::getMutableAttribute(Attribute const&),__int64 __fastcall sub_24ED660(__int64 a1),0x24ED660
_ZNK5Actor12getAttributeERK9Attribute,Actor::getAttribute(Attribute const&),__int64 __fastcall sub_24ED668(__int64 a1),0x24ED668
_ZNK5Actor12getDeathTimeEv,Actor::getDeathTime(void),__int64 __fastcall sub_24ED710(__int64 a1),0x24ED710
_ZN5Actor4healEi,Actor::heal(int),__int64 __fastcall sub_24ED784(__int64 a1),0x24ED784
_ZNK5Actor21isInvertedHealAndHarmEv,Actor::isInvertedHealAndHarm(void),__int64 __fastcall sub_24ED864(__int64 a1),0x24ED864
_ZNK5Actor13canBeAffectedEi,Actor::canBeAffected(int),__int64 __fastcall sub_24EE0D8(__int64 a1),0x24EE0D8
_ZNK5Actor13canBeAffectedERK17MobEffectInstance,Actor::canBeAffected(MobEffectInstance const&),__int64 __fastcall sub_24EE0A4(__int64 a1),0x24EE0A4
_ZNK5Actor20canBeAffectedByArrowERK17MobEffectInstance,Actor::canBeAffectedByArrow(MobEffectInstance const&),__int64 __fastcall sub_24EE1E4(__int64 a1),0x24EE1E4
_ZN5Actor13onEffectAddedER17MobEffectInstance,Actor::onEffectAdded(MobEffectInstance &),__int64 __fastcall sub_24EE360(__int64 a1),0x24EE360
_ZN5Actor15onEffectUpdatedERK17MobEffectInstance,Actor::onEffectUpdated(MobEffectInstance const&),__int64 __fastcall sub_7E3DDC0(__int64 a1),0x7E3DDC0
_ZN5Actor15onEffectRemovedER17MobEffectInstance,Actor::onEffectRemoved(MobEffectInstance &),__int64 __fastcall sub_7E3DDC8(__int64 a1),0x7E3DDC8
_ZN5Actor21getAnimationComponentEv,Actor::getAnimationComponent(void),__int64 __fastcall sub_24EEE88(__int64 a1),0x24EEE88
_ZN5Actor22openContainerComponentER6Player,Actor::openContainerComponent(Player &),__int64 __fastcall sub_24EF2E0(__int64 a1),0x24EF2E0
_ZN5Actor5swingEv,Actor::swing(void),__int64 __fastcall sub_1175(__int64 a1),0x1175
_ZN5Actor7useItemER13ItemStackBase13ItemUseMethodb,"Actor::useItem(ItemStackBase &,ItemUseMethod,bool)",__int64 __fastcall sub_24EF384(__int64 a1),0x24EF384
_ZNK5Actor15hasOutputSignalEh,Actor::hasOutputSignal(uchar),__int64 __fastcall sub_24EF228(__int64 a1),0x24EF228
_ZNK5Actor15getOutputSignalEv,Actor::getOutputSignal(void),__int64 __fastcall sub_24EF230(__int64 a1),0x24EF230
_ZN5Actor12getDebugTextERSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS6_EE,Actor::getDebugText(std::vector<std::string> &),__int64 __fastcall sub_24EF574(__int64 a1),0x24EF574
_ZNK5Actor24getMapDecorationRotationEv,Actor::getMapDecorationRotation(void),__int64 __fastcall sub_24F04C0(__int64 a1),0x24F04C0
_ZNK5Actor17getRiderYRotationERKS_,Actor::getRiderYRotation(Actor const&),__int64 __fastcall sub_24F04C8(__int64 a1),0x24F04C8
_ZNK5Actor11getYHeadRotEv,Actor::getYHeadRot(void),__int64 __fastcall sub_24F04D0(__int64 a1),0x24F04D0
_ZN5Actor14isWorldBuilderEv,Actor::isWorldBuilder(void),__int64 __fastcall sub_24F04D8(__int64 a1),0x24F04D8
_ZNK5Actor10isCreativeEv,Actor::isCreative(void),__int64 __fastcall sub_24F04E0(__int64 a1),0x24F04E0
_ZNK5Actor11isAdventureEv,Actor::isAdventure(void),__int64 __fastcall sub_24F04E8(__int64 a1),0x24F04E8
_ZN5Actor3addER9ItemStack,Actor::add(ItemStack &),__int64 __fastcall sub_24F04F0(__int64 a1),0x24F04F0
_ZN5Actor4dropERK9ItemStackb,"Actor::drop(ItemStack const&,bool)",__int64 __fastcall sub_24F05A0(__int64 a1),0x24F05A0
_ZN5Actor14getInteractionER6PlayerR16ActorInteractionRK4Vec3,"Actor::getInteraction(Player &,ActorInteraction &,Vec3 const&)",__int64 __fastcall sub_24F0E6C(__int64 a1),0x24F0E6C
_ZNK5Actor15canDestroyBlockERK5Block,Actor::canDestroyBlock(Block const&),__int64 __fastcall sub_24D325C(__int64 a1),0x24D325C
_ZN5Actor11setAuxValueEi,Actor::setAuxValue(int),__int64 __fastcall sub_621(__int64 a1),0x621
_ZN5Actor7setSizeEff,"Actor::setSize(float,float)",__int64 __fastcall sub_24D4AEC(__int64 a1),0x24D4AEC
_ZNK5Actor11getLifeSpanEv,Actor::getLifeSpan(void),__int64 __fastcall sub_24F21BC(__int64 a1),0x24F21BC
_ZN5Actor8onOrphanEv,Actor::onOrphan(void),__int64 __fastcall sub_24F2548(__int64 a1),0x24F2548
_ZN5Actor6wobbleEv,Actor::wobble(void),__int64 __fastcall sub_24F2764(__int64 a1),0x24F2764
_ZN5Actor7wasHurtEv,Actor::wasHurt(void),__int64 __fastcall sub_24DA574(__int64 a1),0x24DA574
_ZN5Actor15startSpinAttackEv,Actor::startSpinAttack(void),__int64 __fastcall sub_21C4304(__int64 a1),0x21C4304
_ZN5Actor14stopSpinAttackEv,Actor::stopSpinAttack(void),__int64 __fastcall sub_1176(__int64 a1),0x1176
_ZN5Actor19setDamageNearbyMobsEb,Actor::setDamageNearbyMobs(bool),__int64 __fastcall sub_24DB870(__int64 a1),0x24DB870
_ZN5Actor22renderDebugServerStateERK7Options,Actor::renderDebugServerState(Options const&),__int64 __fastcall sub_1311(__int64 a1),0x1311
_ZN5Actor15reloadLootTableEv,Actor::reloadLootTable(void),__int64 __fastcall sub_24EC43C(__int64 a1),0x24EC43C
_ZN5Actor15reloadLootTableERK24EquipmentTableDefinition,Actor::reloadLootTable(EquipmentTableDefinition const&),__int64 __fastcall sub_24EC488(__int64 a1),0x24EC488
_ZNK5Actor27getDeletionDelayTimeSecondsEv,Actor::getDeletionDelayTimeSeconds(void),__int64 __fastcall sub_1E56F58(__int64 a1),0x1E56F58
_ZN5Actor4killEv,Actor::kill(void),__int64 __fastcall sub_24EC890(__int64 a1),0x24EC890
_ZN5Actor3dieERK17ActorDamageSource,Actor::die(ActorDamageSource const&),__int64 __fastcall sub_24EC9D8(__int64 a1),0x24EC9D8
_ZNK5Actor10shouldTickEv,Actor::shouldTick(void),__int64 __fastcall sub_24F28B8(__int64 a1),0x24F28B8
_ZN5Actor19createMovementProxyEv,Actor::createMovementProxy(void),__int64 __fastcall sub_24EC314(__int64 a1),0x24EC314
_ZN5Actor11getNextStepEf,Actor::getNextStep(float),__int64 __fastcall sub_24D28B4(__int64 a1),0x24D28B4
_ZN5Actor35updateEntitySpecificMolangVariablesER12RenderParams,Actor::updateEntitySpecificMolangVariables(RenderParams &),__int64 __fastcall sub_1313(__int64 a1),0x1313
